lycode,pcode,name,status,oldname
01153,D0060030,實施耕者有其田條例,中華民國82年7月9日廢止,
01154,D0060009,平均地權條例,中華民國108年7月1日修正,實施都市平均地權條例
01155,D0060019,農地重劃條例,中華民國100年5月27日修正,
01156,D0070030,區域計畫法,中華民國89年1月6日修正,
01157,D0060014,水陸地圖審查條例,中華民國93年4月23日廢止,
01158,D0070109,建築法,中華民國108年12月13日修正,
01159,D0070112,建築師法,中華民國102年12月31日修正,
01160,D0070081,國民住宅條例,中華民國103年12月23日廢止,
01161,D0070001,都市計畫法,中華民國108年12月13日修正,
01162,D0070007,市區道路條例,中華民國92年12月23日修正,
01163,D0070060,工程受益費徵收條例,中華民國89年10月24日修正,
01164,J0110055,自來水法,中華民國108年11月19日修正,
01165,D0070058,下水道法,中華民國107年5月8日修正,
01166,D0080001,警察法,中華民國91年5月17日修正,
01167,S0020005,警察人員人事條例,中華民國107年5月29日,警察人員管理條例
01168,D0080007,警察教育條例,中華民國91年5月14日修正,
01169,D0080036,警察服制條例,中華民國105年4月8日修正,
01170,D0080026,警察勤務條例,中華民國97年6月12日修正,
01171,D0080042,警械使用條例,中華民國91年6月4日全文修正,
01172,D0080077,違警罰法,中華民國80年6月29日廢止,
01173,D0080103,警察獎章條例,中華民國32年6月12日制定,
01174,D0080037,自衛槍枝管理條例,中華民國91年6月4日修正,
01175,D0080047,槍砲彈藥刀械管制條例,中華民國109年5月22日修正,
01176,J0070017,著作權法,中華民國108年4月16日修正,
01177,D0020010,公職人員選舉罷免法,中華民國109年4月17日修正,動員戡亂時期公職人員選舉罷免法
01178,D0120001,消防法,中華民國108年10月29日修正,
01179,D0050024,少年福利法,中華民國93年5月21日廢止,
01180,J0170001,消費者保護法,中華民國104年6月2日修正,
01181,D0050084,農民健康保險條例,中華民國107年12月14日修正,
01183,D0080067,社會秩序維護法,中華民國108年12月6日修正,
01186,D0070110,營造業法,中華民國108年5月31日修正,
01187,D0070118,公寓大廈管理條例,中華民國105年11月1日修正,
01189,L0060001,全民健康保險法,中華民國108年12月13日修正,
01191,D0070008,都市更新條例,中華民國107年12月28日全文修正,
01192,D0080081,保全業法,中華民國108年5月31日修正,
01194,D0070032,新市鎮開發條例,中華民國108年12月13日修正,
01195,D0070249,都市危險及老舊建築物加速重建條例,中華民國109年4月17日修正,
01199,D0080058,集會遊行法,中華民國91年6月4日修正,
01201,D0020078,政黨法,中華民國106年11月10日制定,
01202,D0000034,臺灣警察專科學校組織條例,中華民國77年4月16日制定,
01203,D0080132,入出國及移民法,中華民國105年11月1日修正,
01204,D0020036,第一屆資深中央民意代表自願退職條例,中華民國78年1月26日制定,
01206,D0060066,不動產經紀業管理條例,中華民國100年12月13日修正,
01207,D0060125,租賃住宅市場發展及管理條例,中華民國106年11月28日制定,
01208,D0080118,民防法,中華民國108年3月22日修正,
01209,D0000036,內政部警政署保安警察總隊組織通則,中華民國104年12月1日廢止,
01210,A0000009,中華民國領海及鄰接區法,中華民國87年1月2日制定,
01211,D0130037,原住民族語言發展法,中華民國106年5月26日制定,
01212,D0130003,原住民族基本法,中華民國107年5月29日修正,
01215,D0090001,行政院海岸巡防署組織法,中華民國94年5月27日修正,
01216,D0070222,海岸管理法,中華民國104年1月20日制定,
01218,D0020049,政治獻金法,中華民國107年5月29日修正,
01220,D0000053,內政部警政署國家公園警察大隊組織條例,中華民國104年12月1日廢止,
01221,D0000068,內政部警政署刑事警察局組織條例,中華民國104年12月1日廢止,
01222,D0000043,內政部警政署國道公路警察局組織條例,中華民國104年12月1日廢止,
01224,I0020013,二二八事件處理及賠償條例,中華民國106年12月26日修正,二二八事件處理及補償條例
01227,D0130001,原住民身分法,中華民國97年11月14日修正,
01228,D0050125,社會工作師法,中華民國108年12月13日修正,
01229,D0060058,土地徵收條例,中華民國100年12月13日修正,
01230,D0050152,國民年金法,中華民國109年5月19日修正,
01231,K0000084,國家風景區管理處組織通則,中華民國89年5月30日修正,
01232,D0060007,農村社區土地重劃條例,中華民國91年11月22日修正,
01233,M0090015,老年農民福利津貼暫行條例,中華民國107年5月18日修正,
01234,D0050023,兒童及少年性剝削防制條例,中華民國106年12月15日修正,兒童及少年性交易防制條例
01235,A0030121,離島建設條例,中華民國108年4月26日修正,
01236,D0000069,內政部消防署組織條例,中華民國94年5月27日修正,
01237,D0080079,性侵害犯罪防治法,中華民國104年12月8日修正,
01239,D0000071,內政部建築研究所組織條例,中華民國104年12月1日廢止,
01240,D0050042,敬老福利生活津貼暫行條例,中華民國97年9月30日期滿廢止,
01242,J0070019,著作權集體管理團體條例,中華民國99年1月12日全文修正,著作權仲介團體條例
01248,D0120014,災害防救法,中華民國108年5月7日修正,
01249,D0070046,共同管道法,中華民國89年5月30日制定,
01250,D0000051,內政部兒童局組織條例,中華民國104年6月9日廢止,
01251,D0000059,內政部警政署航空警察局組織條例,中華民國104年12月1日廢止,
01252,D0000105,內政部警政署警察電訊所組織條例,中華民國104年12月1日廢止,
01253,D0050071,家庭暴力防治法,中華民國104年1月23日修正,
01254,D0070230,國土計畫法,中華民國109年4月17日修正,
01255,C0010031,刑事案件確定後去氧核醣核酸鑑定條例,中華民國105年11月1日制定,
01256,D0080186,去氧核醣核酸採樣條例,中華民國100年12月14日修正,
01257,D0000038,內政部警政署水上警察局組織條例,中華民國91年5月17日廢止,
01258,A0030242,花東地區發展條例,中華民國100年6月13日制定,
01260,D0000135,內政部移民署組織法,中華民國102年8月6日全文修正,內政部入出國及移民署組織法
01263,A0000010,中華民國專屬經濟海域及大陸礁層法,中華民國86年12月30日制定,
01266,D0060089,地籍清理條例,中華民國108年4月16日修正,
01269,D0060081,地政士法,中華民國106年12月29日修正,
01274,D0050138,公益勸募條例,中華民國108年12月13日修正,
01275,D0050074,性騷擾防治法,中華民國98年1月12日修正,
01277,D0090009,海岸巡防法,中華民國108年5月31日全文修正,
01279,D0090002,行政院海岸巡防署海洋巡防總局組織條例,中華民國106年5月26日修正,
01280,D0090004,行政院海岸巡防署海岸巡防總局各地區巡防局組織通則,中華民國106年5月26日修正,
01281,D0090003,行政院海岸巡防署海岸巡防總局組織條例,中華民國106年5月26日修正,
01282,D0050075,特殊境遇家庭扶助條例,中華民國108年12月13日修正,特殊境遇婦女家庭扶助條例
01286,D0000065,內政部役政署組織條例,中華民國104年12月1日廢止,
01287,D0050131,志願服務法,中華民國108年12月13日修正,
01290,D0070195,住宅法,中華民國105年12月23日全文修正,
01294,D0080088,警察刑事紀錄證明核發條例,中華民國101年12月28日修正,
01295,D0080075,當舖業法,中華民國108年12月13日修正,
01296,D0000070,內政部消防署港務消防隊組織通則,中華民國90年10月25日制定,
01301,E0000003,駐外使領館組織條例,中華民國66年12月30日修正,
01302,E0000002,外交部外交領事人員講習所組織條例,中華民國63年12月6日修正,
01303,E0030001,護照條例,中華民國104年5月22日全文修正,出國護照條例
01304,I0030001,引渡法,中華民國69年6月20日修正,
01305,,解決國家與他國國民間投資爭端公約施行條例,中華民國82年7月9日廢止,
01306,E0020005,駐華外國機構及其人員特權暨豁免條例,中華民國86年4月15日修正,
01307,E0000004,外交部領事事務局組織條例,中華民國81年1月7日制定,
01308,E0000016,外交部外交及國際事務學院組織法,中華民國100年10月28日制定,
01309,E0020021,條約締結法,中華民國104年6月12日制定,
01311,E0030002,外國護照簽證條例,中華民國91年12月31日全文修正,
01313,E0030012,外交部及駐外館處文件證明條例,中華民國106年11月7日修正,
01314,E0000015,外交部領事事務局組織法,中華民國100年10月28日制定,
01401,F0000002,國防部參謀本部組織條例,中華民國103年1月10日廢止,國防部參謀本部組織法
01402,F0000003,後備軍人會組織通則,中華民國89年12月1日廢止,
01403,F0040003,陸海空軍軍官服役條例,中華民國88年4月20日廢止,
01404,F0040005,陸海空軍士官服役條例,中華民國88年4月20日廢止,
01405,F0040007,志願士兵服役條例,中華民國109年4月28日修正,
01406,F0030002,陸海空軍軍官士官任官條例,中華民國108年11月19日修正,
01407,F0030004,陸海空軍軍官士官任職條例,中華民國108年11月19日修正,
01408,F0030005,陸海空軍軍官士官考績條例,中華民國108年11月19日修正,
01409,F0050001,軍人保險條例,中華民國108年5月3日修正,陸海空軍軍人保險條例
01410,F0030008,陸海空軍勳賞條例,中華民國105年10月21日修正,
01411,F0030010,陸海空軍獎勵條例,中華民國96年6月14日修正,
01412,F0030012,空軍勛獎條例,中華民國37年12月31日全文修正,
01413,F0030015,軍人婚姻條例,中華民國94年11月22日廢止,戡亂時期軍人婚姻條例;戡亂時期陸海空軍軍人婚姻條例
01414,,反共抗俄戰士授田條例,中華民國78年12月12日廢止,
01415,D0040008,軍人及其家屬優待條例,中華民國97年7月15日修正,
01416,F0050003,軍人撫卹條例,中華民國108年5月3日修正,
01417,F0040001,兵役法,中華民國109年4月28日修正,
01418,F0040002,兵役法施行法,中華民國109年4月28日修正,
01419,A0030024,國家總動員法,中華民國92年12月16日廢止,
01420,F0070004,軍事徵用法,中華民國92年12月16日廢止,
01421,F0120007,戰時禁制品條例,中華民國44年5月20日制定,
01422,F0060002,陸軍服制條例,中華民國95年1月3日廢止,
01423,F0060001,海軍服制條例,中華民國95年1月3日廢止,
01424,F0060003,空軍服制條例,中華民國95年1月3日廢止,
01425,F0060005,陸海空軍軍旗條例,中華民國96年6月14日修正,
01427,A0030296,促進轉型正義條例,中華民國106年12月5日制定,
01428,F0070002,戒嚴法,中華民國37年12月31日修正,
01429,F0070001,要塞堡壘地帶法,中華民國91年4月2日修正,
01430,F0070006,防空法,中華民國94年1月7日廢止,
01431,K0050008,戡亂時期郵電抽查條例,中華民國84年1月12日廢止,
01432,F0120001,陸海空軍刑法,中華民國108年11月5日修正,
01433,F0030013,陸海空軍懲罰法,中華民國104年4月21日全文修正,
01434,F0120003,戰時軍律,中華民國91年12月10日廢止,
01435,F0120004,妨害軍機治罪條例,中華民國92年12月16日廢止,
01436,F0120006,海上捕獲條例,中華民國44年5月20日全文修正,
01437,D0060017,測量標設置保護條例,中華民國96年12月14日廢止,
01438,F0120008,軍事審判法,中華民國108年3月19日修正,
01439,F0120009,軍事審判法施行法,中華民國88年10月1日全文修正,
01440,,海上捕獲法庭審判條例,中華民國69年6月20日修正,
01441,A0030028,國家安全法,中華民國108年6月19日修正,動員戡亂時期國家安全法
